Day,Day2,ID_10,ID_11,ID_12,ID_13,ID_14,ID_15,ID_16,ID_17,ID_18,ID_19,ID_20,ID_21,ID_22,ID_23,ID_24,ID_25,ID_26,ID_27,ID_30,ID_31,ID_32,ID_33,ID_34,ID_35,ID_36,ID_37,ID_38,ID_39,ID_40,ID_41,ID_42,ID_43,ID_44,ID_45,ID_46,ID_47,ID_48,ID_49,ID_50,ID_51,ID_52,ID_53,ID_54,ID_55,ID_56,ID_57,ID_58,ID_60,ID_61,ID_62,ID_63,ID_64,ID_65,ID_66,ID_67,ID_70,ID_71,ID_72,ID_73,ID_74,ID_75,ID_76,ID_77,ID_80,ID_81,ID_82,ID_83,ID_84,ID_85,ID_86,ID_90,ID_91,ID_92,ID_93,ID_94,ID_95,ID_96,ID_3332
589,40767,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,9,23,22,33,9,2,1,1,5,15,20,1,10,2,2,8,10,1,3,0,7,0,12,4,6,7,1,6,1,0,0,0,2,0,1,0,5,0,0,0,0,0,0,0,0,2,1,1,0,2,1,0,1,1,1,0,0,0,2,55
603,40781,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,31,31,27,9,5,2,2,0,14,18,11,10,4,8,11,15,0,1,0,3,0,6,0,0,10,3,12,0,5,0,1,2,1,3,1,5,0,1,0,0,0,0,0,0,5,1,3,1,0,1,0,2,1,1,2,0,0,1,58
617,40795,1,0,0,0,0,0,1,0,3,0,1,0,4,0,1,0,0,1,7,42,31,28,8,2,9,0,0,15,19,2,6,3,3,5,32,0,3,0,3,0,6,4,4,4,1,3,2,1,0,3,1,0,4,1,6,0,0,0,0,0,0,0,1,4,1,4,1,0,3,2,2,2,0,1,0,0,3,59
631,40809,1,0,0,0,2,0,0,0,0,1,0,0,2,0,1,0,0,2,17,39,25,39,9,1,8,1,0,3,35,9,11,1,17,21,16,2,1,0,3,0,7,1,2,3,0,2,0,3,0,0,1,3,4,6,3,0,0,1,0,0,0,0,0,4,1,4,1,0,2,0,3,4,1,0,0,2,0,64
645,40823,2,0,0,0,2,0,4,0,0,0,0,0,4,0,1,1,1,1,14,16,36,37,7,5,6,5,3,17,24,6,9,1,7,6,11,4,2,0,6,0,24,2,2,7,3,3,3,4,0,0,1,2,4,0,2,0,1,0,1,0,0,0,1,3,0,5,1,2,3,1,0,0,0,1,0,3,0,73
659,40837,1,0,0,2,3,0,1,0,1,1,0,1,10,0,2,0,2,0,15,42,65,49,6,9,4,3,1,19,16,4,5,0,7,5,9,2,0,2,5,1,10,2,7,5,1,7,1,4,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,2,0,6,1,1,7,0,3,1,0,6,0,2,2,114
673,40851,2,0,0,0,2,0,0,0,2,0,2,0,1,1,0,1,0,1,6,43,27,32,5,1,3,2,0,3,16,3,5,1,3,2,6,0,1,0,0,0,11,0,4,2,0,2,2,2,0,1,1,0,1,2,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,0,5,2,1,3,3,4,4,59
687,40865,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,11,29,17,21,1,2,4,3,1,4,11,2,5,0,8,1,9,0,0,1,3,0,4,0,0,0,1,2,0,0,0,2,2,1,2,0,3,0,0,0,0,0,0,0,0,6,2,1,0,4,0,1,6,0,1,7,1,1,1,38
701,40879,5,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,2,10,7,9,0,1,1,2,0,1,8,1,12,0,2,7,5,3,0,0,0,0,0,2,1,2,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,1,0,5,3,1,6,1,2,3,16
715,40893,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,5,6,9,0,1,0,2,0,3,5,1,1,0,2,1,4,0,0,0,2,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,5,0,1,0,2,3,0,2,2,0,2,0,3,0,15
729,40907,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,10,13,2,2,0,0,1,7,9,0,4,0,5,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,8,1,2,1,1,0,0,10,1,0,7,2,1,1,23
743,40921,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,7,5,12,8,0,1,2,1,0,0,3,1,1,0,6,0,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,7,0,1,0,0,1,0,12,1,0,16,1,3,2,20
757,40935,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,6,16,5,0,2,0,2,0,2,0,2,2,0,2,2,1,0,0,1,1,0,2,0,0,2,0,0,1,2,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,4,0,0,0,3,0,0,8,0,1,6,6,2,0,21
771,40949,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,7,8,8,1,3,2,0,0,3,2,2,1,2,6,2,2,0,0,0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,3,1,0,3,0,1,0,0,3,0,0,0,0,1,16
785,40963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,18,4,1,1,1,0,0,2,5,0,1,1,5,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,4,2,0,0,0,2,0,2,0,1,2,1,0,2,22
799,40977,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,4,4,5,7,3,1,3,1,0,0,6,1,0,0,2,0,1,0,0,0,0,0,5,1,0,0,1,1,0,1,0,0,1,0,2,0,0,0,2,0,0,0,0,0,1,5,2,0,1,1,5,0,1,0,0,2,5,1,2,12
813,40991,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,4,11,5,1,0,2,0,0,1,6,1,3,1,3,0,1,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,2,0,3,1,0,4,3,0,0,16
827,41005,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,11,6,18,5,1,0,0,3,1,0,8,2,1,0,1,1,6,0,0,0,0,0,2,0,0,1,0,2,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,1,1,0,3,0,0,3,1,0,3,0,2,0,23
841,41019,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,4,4,9,13,2,0,0,0,0,3,2,1,4,0,1,2,4,0,0,0,1,0,0,0,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,5,1,0,5,3,2,3,0,2,2,22
855,41033,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,3,11,11,5,1,1,0,1,1,1,6,0,12,0,0,6,9,0,0,0,2,0,1,0,0,3,0,5,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,8,3,4,5,1,5,1,3,1,0,1,0,1,3,16
869,41047,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,7,12,15,4,2,1,0,0,1,7,11,0,5,0,5,6,5,0,0,0,4,1,1,0,0,2,2,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,5,2,8,0,0,19,0,1,0,1,2,2,0,0,19
883,41061,0,0,0,0,2,0,0,0,0,0,0,1,2,1,0,0,0,0,6,6,19,16,1,0,2,0,0,1,4,2,11,1,7,8,2,0,0,0,0,0,2,2,1,2,1,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,10,4,2,0,27,0,0,5,4,4,0,1,0,35
897,41075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,22,21,16,1,5,1,2,1,2,7,1,8,0,10,9,4,0,1,4,5,0,8,1,1,4,1,8,2,1,0,0,0,0,1,0,3,0,0,0,0,0,0,1,0,9,7,10,1,8,38,1,2,2,1,0,0,0,1,37
911,41089,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,1,16,14,24,20,4,3,5,1,2,6,13,4,11,2,17,5,10,0,2,3,11,0,12,0,1,3,2,8,2,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,7,2,1,1,1,54,1,2,1,1,3,0,3,2,44
925,41103,1,0,0,0,0,0,0,0,1,0,0,0,4,1,1,0,0,0,7,25,21,20,2,7,9,2,4,11,13,1,4,0,13,3,8,2,2,2,12,0,17,1,4,4,2,3,3,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,3,3,4,2,0,35,0,4,1,0,2,0,0,0,41
939,41117,1,0,0,0,4,0,0,0,0,1,1,0,2,0,0,0,0,0,7,11,9,19,3,5,1,1,0,4,18,4,9,1,10,5,8,1,1,1,2,0,22,1,13,2,3,5,2,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,3,3,4,0,1,47,0,6,1,0,2,0,3,0,28
